1	2127808	4258
1	2127808	15388
1	2127808	1886756
1	2127808	1466257
1	2127808	1930
1	2127808	2401031
1	2127808	2423022
1	2127808	4475
1	2127808	2419796
1	2127808	3553
1	2127808	2399000
1	2127808	2394477
1	2127808	2370806
1	2127808	1471682
1	2127808	2684
1	2127808	1740
1	2127808	1861778
1	3553	4258
1	3553	15388
1	3553	1886756
1	3553	1466257
1	3553	1930
1	3553	2401031
1	3553	2423022
1	3553	4475
1	3553	2419796
1	3553	3553
1	3553	2399000
1	3553	2394477
1	3553	2370806
1	3553	1471682
1	3553	2684
1	3553	1740
1	3553	1861778
1	1471682	4258
1	1471682	15388
1	1471682	1886756
1	1471682	1466257
1	1471682	1930
1	1471682	2401031
1	1471682	2423022
1	1471682	4475
1	1471682	2419796
1	1471682	3553
1	1471682	2399000
1	1471682	2394477
1	1471682	2370806
1	1471682	1471682
1	1471682	2684
1	1471682	1740
1	1471682	1861778
1	2120997	4258
1	2120997	15388
1	2120997	1886756
1	2120997	1466257
1	2120997	1930
1	2120997	2401031
1	2120997	2423022
1	2120997	4475
1	2120997	2419796
1	2120997	3553
1	2120997	2399000
1	2120997	2394477
1	2120997	2370806
1	2120997	1471682
1	2120997	2684
1	2120997	1740
1	2120997	1861778
1	4475	4258
1	4475	15388
1	4475	1886756
1	4475	1466257
1	4475	1930
1	4475	2401031
1	4475	2423022
1	4475	4475
1	4475	2419796
1	4475	3553
1	4475	2399000
1	4475	2394477
1	4475	2370806
1	4475	1471682
1	4475	2684
1	4475	1740
1	4475	1861778
1	15388	4258
1	15388	15388
1	15388	1886756
1	15388	1466257
1	15388	1930
1	15388	2401031
1	15388	2423022
1	15388	4475
1	15388	2419796
1	15388	3553
1	15388	2399000
1	15388	2394477
1	15388	2370806
1	15388	1471682
1	15388	2684
1	15388	1740
1	15388	1861778
1	1886756	4258
1	1886756	15388
1	1886756	1886756
1	1886756	1466257
1	1886756	1930
1	1886756	2401031
1	1886756	2423022
1	1886756	4475
1	1886756	2419796
1	1886756	3553
